date,state,cases,deaths,state_code
IV 2021,Indiana,1250565,19037,IN
IV 2021,Iowa,575501,7858,IA
IV 2021,Kansas,520500,7030,KS
IV 2021,Kentucky,864599,12149,KY
IV 2021,Louisiana,828695,14986,LA
IV 2021,Maine,146736,1531,ME
IV 2021,Maryland,700789,11758,MD
IV 2021,Massachusetts,1140614,20273,MA
IV 2021,Michigan,1706355,28984,MI
IV 2021,Minnesota,1022352,10656,MN
IV 2021,Mississippi,543737,10450,MS
IV 2021,Missouri,1023310,16223,MO
IV 2021,Montana,197784,2907,MT
IV 2021,Nebraska,338257,3336,NE
IV 2021,Nevada,501181,8420,NV
IV 2021,New Hampshire,198667,1961,NH
IV 2021,New Jersey,1564253,29037,NJ
IV 2021,New Mexico,350043,5857,NM
IV 2021,New York,3473970,58993,NY
IV 2021,North Carolina,1685504,19436,NC
IV 2021,North Dakota,174220,2057,ND
IV 2021,Ohio,2016095,29447,OH
IV 2021,Oklahoma,708938,11552,OK
IV 2021,Oregon,421263,5655,OR
IV 2021,Pennsylvania,2036424,36705,PA
IV 2021,Rhode Island,231096,3066,RI
IV 2021,South Carolina,975320,14636,SC
IV 2021,South Dakota,179204,2486,SD
IV 2021,Tennessee,1379917,20640,TN
IV 2021,Texas,4574881,76062,TX
IV 2021,Utah,637144,3787,UT
IV 2021,Vermont,64447,471,VT
IV 2021,Virginia,1118518,15587,VA
IV 2021,Washington,852824,9904,WA
IV 2021,West Virginia,328162,5336,WV
IV 2021,Wisconsin,1120669,11173,WI
IV 2021,Wyoming,115638,1526,WY
I 2022,Alabama,1295327,19290,AL
I 2022,Alaska,245619,1192,AK
I 2022,Arizona,2007180,29268,AZ
I 2022,Arkansas,832922,11230,AR
I 2022,California,9103954,89018,CA
I 2022,Colorado,1351404,12174,CO
I 2022,Connecticut,736775,10776,CT
I 2022,Delaware,259647,2846,DE
I 2022,District of Columbia,136598,1331,DC
I 2022,Florida,5849949,73244,FL
I 2022,Georgia,2429552,35571,GA
I 2022,Hawaii,234659,1376,HI
I 2022,Idaho,444090,4876,ID
I 2022,Illinois,3073830,37667,IL
I 2022,Indiana,1690823,23373,IN
I 2022,Iowa,758463,9445,IA
I 2022,Kansas,771008,8321,KS
I 2022,Kentucky,1322449,14907,KY
I 2022,Louisiana,1232422,17127,LA
I 2022,Maine,235790,2202,ME
I 2022,Maryland,1012183,14345,MD
I 2022,Massachusetts,1698761,20105,MA
I 2022,Michigan,2381800,35622,MI
I 2022,Minnesota,1429780,12638,MN
I 2022,Mississippi,794558,12397,MS
I 2022,Missouri,1428158,20168,MO
I 2022,Montana,272798,3247,MT
I 2022,Nebraska,477761,4161,NE
I 2022,Nevada,713129,10091,NV
I 2022,New Hampshire,302541,2452,NH
I 2022,New Jersey,2199807,33232,NJ
I 2022,New Mexico,517858,7276,NM
I 2022,New York,4978875,67313,NY
I 2022,North Carolina,2631072,23217,NC
I 2022,North Dakota,239780,2279,ND
I 2022,Ohio,2672801,38042,OH
I 2022,Oklahoma,1033848,14010,OK
I 2022,Oregon,704152,7144,OR
I 2022,Pennsylvania,2781353,44275,PA
I 2022,Rhode Island,361262,3522,RI
I 2022,South Carolina,1468140,17591,SC
I 2022,South Dakota,237109,2883,SD
I 2022,Tennessee,1972072,25337,TN
I 2022,Texas,6680558,87507,TX
I 2022,Utah,928148,4714,UT
I 2022,Vermont,116639,617,VT
I 2022,Virginia,1668891,19692,VA
I 2022,Washington,1455632,12540,WA
I 2022,West Virginia,497769,6831,WV
I 2022,Wisconsin,1585495,14302,WI
I 2022,Wyoming,156112,1791,WY
